voltage_v,current_a,wire_feed_speed_mm_s,material_temp_c,ambient_temp_c,travel_speed_mm_s,torch_angle_deg,ctwd_mm,gas_flow_l_min,co2_pct,thickness_mm,steel_type,rust_level,surface_grease,wire_diameter_mm,roller_wear_pct,arc_stability_rms,weld_penetration_pct
19.59,158.4,74.71,29.84,24.65,5.67,60.0,21.0,16.15,18.36,2.01,1,3.0,2.3,0.79,8.47,0.97,38.39
18.88,98.92,79.65,29.74,17.56,10.34,60.0,14.46,18.53,11.51,3.15,2,2.53,1.96,0.95,48.33,1.31,23.18
26.15,135.96,76.51,23.43,18.55,7.08,60.0,15.85,20.45,25.0,2.64,0,3.0,3.0,0.79,12.55,0.58,36.72
24.32,154.7,79.37,20.8,21.18,5.71,60.0,21.2,11.25,7.62,2.31,0,3.0,1.49,0.82,46.44,0.92,31.76
27.36,177.47,101.93,41.94,24.38,10.24,60.0,17.44,17.65,13.7,1.4,2,3.0,2.8,0.79,52.16,1.26,56.68
28.12,145.56,110.48,45.9,23.76,8.94,60.0,18.37,17.65,25.0,4.19,0,3.0,3.0,0.74,32.71,1.14,51.98
25.07,153.55,50.0,50.0,37.12,9.22,60.0,13.68,12.97,15.35,2.96,1,3.0,3.0,0.81,38.85,0.93,22.95
29.38,179.94,83.18,38.68,32.76,11.41,60.0,11.67,12.46,25.0,3.17,1,3.0,3.0,1.21,30.4,0.38,52.36
23.78,120.16,93.37,32.62,17.71,7.24,60.0,15.11,14.02,25.0,3.19,1,3.0,0.0,0.77,37.45,0.45,58.66
18.74,122.13,101.33,38.14,32.81,6.47,60.0,17.91,18.67,24.57,1.62,0,3.0,3.0,0.79,53.53,0.67,34.37
21.77,149.66,92.35,30.05,21.7,9.28,60.0,21.16,10.42,14.01,1.45,1,3.0,3.0,1.01,22.47,0.83,29.67
27.99,131.56,77.32,21.66,20.69,9.15,60.0,17.12,20.79,5.0,2.62,1,3.0,3.0,1.0,19.0,0.68,24.2
29.72,224.56,115.29,28.11,21.9,6.23,60.0,18.3,16.12,18.61,2.8,2,0.15,3.0,1.0,18.63,1.25,79.31
23.47,134.52,71.79,47.68,30.82,8.15,60.0,15.97,14.47,14.94,2.94,1,3.0,3.0,0.99,49.63,0.87,22.03
21.41,166.41,84.73,42.82,24.31,9.08,60.0,13.8,14.12,14.24,2.93,0,3.0,3.0,0.82,22.4,0.65,44.72
20.77,165.93,97.0,42.06,25.79,7.56,60.0,17.01,17.78,23.68,1.72,0,3.0,0.16,0.77,42.61,0.64,46.19
17.19,169.18,59.61,39.64,18.71,4.98,60.0,20.9,18.05,22.2,2.08,0,3.0,3.0,1.0,16.29,1.02,21.56
26.28,193.55,59.53,50.0,33.42,7.77,60.0,20.25,15.74,5.0,1.69,0,3.0,3.0,1.01,11.12,0.78,51.32
26.18,164.09,97.43,32.42,22.16,4.78,60.0,15.94,16.99,18.81,2.51,1,1.89,2.32,0.94,53.64,0.42,65.65
26.87,205.64,120.25,48.74,19.06,8.3,60.0,16.14,18.62,16.71,2.83,1,3.0,3.0,0.83,23.76,0.65,83.01
27.43,252.83,69.07,40.89,24.84,9.8,60.0,15.76,14.54,18.33,4.01,1,3.0,3.0,1.18,52.32,0.75,61.97
26.4,141.46,76.25,41.36,18.68,10.0,60.0,16.37,17.55,20.12,2.54,1,1.59,2.01,0.77,4.82,0.74,45.13
23.81,172.62,104.41,50.0,34.17,8.35,60.0,17.73,16.92,18.15,3.0,0,2.17,2.04,1.0,47.4,0.88,70.57
22.2,208.16,86.56,46.43,10.9,6.41,60.0,15.84,11.72,18.52,2.03,2,3.0,2.13,0.79,41.64,0.7,56.25
23.61,180.41,77.41,21.96,21.28,8.91,60.0,16.9,16.66,18.83,4.01,1,3.0,3.0,0.82,42.66,0.68,47.59
21.69,167.76,61.6,17.88,24.6,8.92,60.0,16.16,11.97,14.32,2.44,0,3.0,3.0,0.8,5.69,0.56,22.54
31.97,221.12,107.0,48.46,25.05,8.52,60.0,17.59,19.89,19.82,2.52,1,3.0,3.0,1.01,31.73,0.73,67.78
24.3,138.97,68.78,20.5,13.27,6.71,60.0,15.89,21.01,10.78,1.82,0,3.0,3.0,0.83,40.37,1.0,39.8
24.85,159.34,109.29,34.47,26.17,6.24,60.0,10.77,17.27,16.15,2.02,2,3.0,3.0,0.83,37.39,0.46,46.85
26.62,203.03,82.11,38.07,32.66,9.44,60.0,13.01,13.72,15.47,2.44,1,1.41,3.0,1.18,57.39,1.04,64.36
26.93,228.05,89.4,33.46,27.04,6.04,60.0,17.29,12.77,14.56,2.95,0,3.0,0.0,0.79,43.16,1.04,76.15
22.71,192.04,123.32,40.33,32.07,7.9,60.0,14.01,14.75,19.31,1.53,0,1.92,1.23,1.03,12.27,0.51,78.43
23.61,201.44,110.2,44.78,18.97,6.55,60.0,11.73,15.45,13.41,2.4,1,3.0,3.0,0.82,17.46,0.67,59.02
24.05,196.77,89.8,19.95,27.3,10.9,60.0,17.4,17.14,13.52,2.9,0,3.0,3.0,0.76,7.91,0.91,52.99
29.08,243.93,139.96,28.34,22.67,8.87,60.0,15.31,15.23,13.4,1.91,2,3.0,3.0,1.01,8.71,1.19,94.48
19.1,148.05,96.94,46.55,23.84,7.91,60.0,15.68,16.01,10.71,3.08,1,2.83,3.0,0.82,20.48,0.24,30.19
27.16,207.82,85.76,31.05,26.31,11.44,60.0,12.59,15.25,19.63,2.03,2,3.0,1.57,0.8,2.9,0.84,65.95
25.06,145.55,50.0,20.82,22.54,6.49,60.0,13.88,17.95,19.05,2.51,0,3.0,3.0,1.19,27.96,1.05,28.25
20.97,192.5,100.98,32.84,21.95,8.36,60.0,17.76,16.62,5.0,2.48,0,3.0,3.0,0.81,9.94,1.36,56.48
21.75,158.03,66.09,39.84,26.96,6.1,60.0,13.6,17.8,11.91,2.36,2,3.0,3.0,0.82,13.24,0.72,33.1
24.72,127.81,87.85,45.89,28.92,6.09,60.0,15.63,15.44,25.0,3.17,1,3.0,1.95,0.81,7.07,1.04,33.95
21.92,133.61,85.93,20.25,30.06,8.34,60.0,17.96,18.11,13.69,1.9,1,2.83,3.0,0.99,27.82,0.83,33.28
32.4,186.78,63.64,31.74,29.21,9.25,60.0,13.22,18.04,5.0,1.71,0,0.79,3.0,0.83,47.46,0.66,57.52
25.59,158.52,109.7,36.99,28.07,4.44,60.0,19.17,14.57,5.0,2.69,0,3.0,3.0,1.2,5.8,0.65,40.93
21.84,112.28,68.34,43.26,19.08,4.08,60.0,17.39,13.68,23.8,2.13,2,0.5,3.0,1.2,15.05,0.35,33.04
22.99,170.71,98.03,35.72,30.55,4.49,60.0,14.58,13.89,11.87,2.38,1,3.0,3.0,0.8,24.05,1.0,36.37
28.26,198.02,60.31,24.29,28.27,9.23,60.0,15.63,13.57,12.39,2.9,1,3.0,3.0,0.79,36.14,0.83,47.44
24.64,125.57,103.62,47.71,21.59,8.25,60.0,12.8,14.19,16.99,3.03,0,3.0,3.0,1.01,20.95,0.71,31.01
24.9,184.9,103.35,39.18,25.29,5.81,60.0,22.99,19.57,16.26,2.95,1,3.0,1.5,0.8,19.9,0.66,60.36
26.96,165.43,92.74,39.76,25.46,8.64,60.0,16.87,15.9,15.11,1.44,0,3.0,3.0,1.14,42.64,0.72,53.06
24.07,144.7,64.57,30.28,27.61,7.71,60.0,13.04,15.16,23.32,2.11,0,3.0,3.0,0.83,45.21,0.82,21.0
23.2,152.03,117.93,29.73,25.72,7.07,60.0,16.65,17.01,11.81,3.87,2,3.0,3.0,1.01,24.48,1.22,53.38
29.41,200.61,92.94,37.91,24.73,7.04,60.0,13.84,18.71,17.71,1.89,2,2.63,0.33,0.77,41.16,0.75,78.07
17.94,167.93,108.02,25.75,29.45,7.32,60.0,16.24,16.9,20.29,2.54,2,3.0,2.14,0.81,59.71,0.64,45.39
26.86,160.91,112.29,38.45,22.09,7.25,60.0,14.09,14.41,18.04,2.95,0,3.0,3.0,0.77,57.92,0.91,44.81
18.9,131.96,99.53,36.64,30.37,7.7,60.0,20.89,17.94,19.27,3.02,1,2.94,3.0,1.02,31.18,0.71,28.79
25.54,167.92,120.36,24.95,18.97,11.41,60.0,10.0,17.34,19.37,4.03,0,1.08,3.0,0.82,24.65,0.48,60.14
26.1,156.77,85.16,37.12,33.02,7.67,60.0,15.78,18.5,19.68,4.02,2,1.09,3.0,1.04,51.53,0.6,53.5
23.15,181.31,72.59,32.13,24.86,8.55,60.0,15.8,16.07,21.61,2.57,1,3.0,3.0,1.18,19.56,0.98,48.92
29.18,194.53,94.33,21.18,26.03,7.38,60.0,12.48,15.64,13.74,2.91,2,3.0,3.0,0.79,10.23,0.48,66.63
25.31,168.33,78.7,34.64,22.71,5.35,60.0,24.15,18.63,25.0,2.11,0,3.0,3.0,0.81,51.48,0.51,43.49
17.68,110.01,86.49,45.59,28.97,7.99,60.0,19.26,17.17,14.75,2.43,2,3.0,3.0,0.8,57.8,0.74,10.99
24.18,139.4,89.82,37.8,15.19,5.08,60.0,16.16,12.65,22.82,2.35,1,3.0,3.0,0.83,57.4,1.1,41.26
20.53,154.72,125.36,35.42,29.48,9.3,60.0,15.15,13.01,24.61,3.15,1,3.0,3.0,0.81,45.23,0.55,50.75
25.58,162.55,114.63,25.67,19.02,11.06,60.0,10.0,15.86,20.96,4.06,0,0.12,3.0,0.76,25.09,0.46,62.3
28.09,168.98,84.33,33.68,20.04,10.12,60.0,14.86,14.48,22.09,2.09,0,3.0,3.0,0.82,31.94,1.39,44.11
20.67,221.81,101.07,32.35,34.35,9.6,60.0,13.13,12.05,23.14,1.63,0,3.0,3.0,0.79,1.74,0.98,65.05
27.47,187.98,122.33,32.2,24.19,5.4,60.0,12.71,18.03,18.36,1.49,2,2.06,2.14,0.83,13.85,1.05,76.87
26.62,191.15,108.84,21.6,16.78,4.09,60.0,12.83,17.87,24.24,1.62,1,3.0,3.0,0.78,30.8,0.97,56.93
28.36,155.78,89.92,50.0,24.84,7.59,60.0,13.99,10.0,18.95,2.6,1,3.0,2.25,1.02,11.34,0.67,36.42
26.46,226.48,107.28,28.48,28.94,8.13,60.0,21.4,21.29,17.82,2.97,0,3.0,3.0,1.0,17.67,0.84,60.34
23.36,115.9,83.69,19.61,24.97,12.2,60.0,13.72,16.58,25.0,1.66,0,3.0,3.0,0.82,40.59,0.74,27.51
25.71,162.94,87.29,25.65,23.45,8.13,60.0,15.1,16.05,17.48,3.99,0,3.0,3.0,0.99,41.48,0.88,49.29
26.49,167.13,91.03,32.17,9.76,6.27,60.0,15.97,16.8,14.3,2.42,0,0.75,1.75,0.97,18.28,0.94,63.5
24.27,161.11,99.97,50.0,24.88,9.22,60.0,19.97,17.2,18.27,3.0,2,3.0,3.0,0.82,21.13,0.81,43.52
23.81,172.07,62.87,38.24,23.98,7.71,60.0,18.31,17.04,25.0,2.67,2,3.0,1.15,0.81,49.02,0.77,42.74
20.71,138.08,80.56,32.05,25.55,8.52,60.0,11.51,16.93,16.3,3.12,0,0.0,3.0,0.78,58.3,0.72,39.05
22.44,121.74,64.51,42.01,30.43,5.59,60.0,20.3,18.74,16.58,2.69,2,3.0,3.0,0.79,24.58,0.37,11.6
23.27,145.09,104.49,33.54,23.94,5.51,60.0,17.29,19.75,15.69,3.93,0,2.59,3.0,1.21,3.53,0.63,59.63
17.94,180.21,90.42,30.12,17.23,11.62,60.0,15.09,15.73,23.9,1.62,1,3.0,3.0,0.83,7.18,0.49,38.27
31.41,234.21,72.81,32.39,38.99,7.19,60.0,14.09,16.0,9.62,2.82,1,0.0,3.0,0.8,18.59,0.9,72.21
28.35,258.98,82.12,42.52,23.39,6.32,60.0,14.95,14.78,25.0,2.19,1,3.0,0.36,1.21,42.4,0.58,81.93
19.17,121.4,104.37,38.23,21.5,7.82,60.0,15.67,18.08,21.71,2.57,0,3.0,3.0,0.82,22.61,0.42,36.23
24.07,188.33,65.53,31.95,29.64,7.52,60.0,12.49,15.18,6.42,2.26,0,3.0,3.0,0.82,38.25,0.8,50.19
19.1,143.39,121.18,50.0,22.7,10.35,60.0,15.67,13.98,16.11,2.47,0,2.19,3.0,0.78,0.6,0.94,57.09
20.37,112.76,86.48,32.96,33.65,8.29,60.0,18.56,13.57,21.21,2.08,0,3.0,3.0,0.79,32.04,0.56,19.5
22.87,153.79,93.55,32.34,23.94,7.49,60.0,11.62,10.0,16.55,3.99,0,0.57,1.45,1.01,26.81,0.75,50.84
21.97,170.53,104.13,44.52,34.27,9.24,60.0,19.12,13.71,21.27,1.58,2,3.0,3.0,0.98,15.4,0.91,37.69
24.69,178.74,96.45,27.17,27.83,6.69,60.0,11.13,19.14,15.93,1.94,0,3.0,3.0,0.96,47.27,0.76,59.57
24.59,166.4,91.47,27.01,18.04,6.97,60.0,19.4,14.95,13.05,2.43,1,3.0,3.0,1.0,12.9,0.86,35.42
24.6,159.34,81.59,19.72,26.03,6.16,60.0,18.42,13.76,16.81,1.99,0,3.0,0.47,0.79,51.07,0.95,51.28
20.13,187.2,115.31,35.95,27.75,6.35,60.0,13.99,19.92,22.92,2.08,1,3.0,3.0,0.96,42.9,0.53,55.72
22.62,141.32,62.14,50.0,21.27,4.71,60.0,11.58,19.78,16.45,2.94,1,3.0,3.0,1.02,57.66,1.04,30.03
23.79,149.81,84.32,45.19,18.67,7.87,60.0,12.01,13.44,16.92,1.61,1,3.0,3.0,0.8,7.93,0.63,22.48
26.11,162.71,63.7,18.15,16.42,8.72,60.0,10.1,13.42,17.89,3.01,1,3.0,3.0,0.79,14.75,1.06,38.79
25.57,148.87,111.99,34.56,23.71,5.8,60.0,17.64,25.0,25.0,2.72,1,0.9,3.0,0.79,19.33,0.42,54.66
22.07,178.65,112.15,36.62,29.17,6.57,60.0,18.6,15.3,12.85,2.4,0,3.0,0.08,0.82,55.07,1.24,55.99
27.45,202.73,65.47,44.18,19.71,8.8,60.0,15.28,13.27,21.21,2.58,0,3.0,3.0,0.8,22.3,0.99,47.04
26.47,179.39,112.16,23.25,30.78,7.12,60.0,17.02,15.26,18.33,3.01,1,2.91,3.0,0.81,37.71,0.62,75.02
24.63,159.25,109.34,50.0,18.92,9.88,60.0,14.48,13.91,10.83,1.36,0,1.19,3.0,0.84,21.03,0.84,60.84
24.06,123.39,50.0,37.22,15.51,9.68,60.0,17.6,21.74,18.06,2.47,0,3.0,1.31,1.01,55.11,0.86,21.09
23.67,174.88,71.33,44.65,22.92,9.14,60.0,15.17,14.54,18.66,2.52,1,3.0,3.0,0.98,37.35,1.16,48.19
24.92,155.01,97.26,28.58,30.74,10.53,60.0,13.51,10.28,8.68,3.83,0,1.66,3.0,0.79,39.8,0.81,46.02
21.99,171.43,50.0,22.38,19.37,7.62,60.0,17.61,22.02,22.63,2.07,1,3.0,3.0,1.23,42.53,0.81,18.18
17.94,127.06,89.09,39.67,22.28,9.74,60.0,16.5,19.13,18.3,2.49,0,0.28,0.25,0.83,57.91,0.83,48.31
22.85,190.49,123.0,22.42,17.0,10.4,60.0,13.92,14.33,17.31,2.55,0,3.0,3.0,0.8,59.18,0.69,77.03
28.33,215.19,76.78,30.13,21.5,3.68,60.0,14.62,13.23,21.78,3.09,2,3.0,3.0,0.99,0.0,1.0,57.07
27.0,184.34,101.09,44.49,23.29,8.24,60.0,14.48,18.84,25.0,3.22,0,3.0,3.0,0.83,20.04,0.42,64.55
20.33,144.55,70.33,24.53,22.96,10.37,60.0,23.39,11.49,18.58,3.04,0,3.0,3.0,0.83,58.98,0.73,21.4
26.35,127.28,116.25,50.0,23.87,7.26,60.0,21.52,17.09,25.0,2.16,1,3.0,3.0,0.8,50.13,0.89,43.84
21.78,171.67,85.9,50.0,25.98,7.97,60.0,15.14,19.06,20.89,4.04,0,2.99,2.89,0.8,46.8,1.01,54.78
19.79,148.15,137.63,37.75,24.28,5.98,60.0,16.63,15.71,22.56,2.1,0,3.0,3.0,0.79,23.43,0.62,62.27
24.07,150.58,101.22,45.79,27.2,5.34,60.0,16.87,22.41,25.0,1.59,0,0.51,2.86,0.96,5.95,0.7,51.96
23.93,185.33,111.86,21.72,18.42,3.39,60.0,18.42,15.97,21.48,2.58,1,3.0,1.52,1.17,4.02,0.89,70.61
31.09,148.51,121.46,26.06,30.69,8.96,60.0,13.85,18.27,22.3,2.58,0,3.0,2.14,1.16,33.49,0.9,70.64
16.07,80.0,88.14,31.73,27.98,11.33,60.0,12.78,17.73,13.56,2.4,1,2.68,3.0,0.79,26.72,0.91,12.46
18.74,147.23,64.61,18.03,26.93,3.5,60.0,18.29,16.22,23.76,4.12,1,3.0,3.0,0.97,16.29,0.72,18.96
31.15,200.07,108.68,49.99,26.77,6.43,60.0,15.03,13.72,16.86,1.99,0,1.5,3.0,0.79,45.02,0.88,80.25
21.4,137.2,128.48,41.04,28.44,6.25,60.0,18.29,16.5,16.43,2.97,2,3.0,3.0,0.99,12.81,0.71,48.33
23.79,184.69,103.52,43.71,29.16,11.19,60.0,15.92,16.98,23.49,1.61,0,3.0,3.0,1.02,31.01,0.75,62.7
20.55,124.97,98.21,23.85,24.88,7.13,60.0,15.74,12.06,15.52,3.97,0,3.0,3.0,0.78,11.42,1.14,32.26
21.27,149.21,100.42,33.59,28.39,9.76,60.0,13.16,15.28,20.01,2.04,0,3.0,3.0,0.8,38.43,0.57,47.24
26.09,195.68,107.46,24.58,21.89,6.25,60.0,18.8,15.59,24.75,3.15,1,1.08,3.0,1.02,37.08,0.31,68.98
22.47,126.88,75.66,18.88,25.84,9.26,60.0,18.59,16.12,23.22,3.11,1,0.96,2.45,0.76,28.09,1.26,43.63
20.91,138.73,61.65,19.69,27.69,7.59,60.0,16.55,16.89,14.17,1.42,2,3.0,0.7,0.81,49.48,1.13,27.81
23.24,183.18,81.52,33.74,27.84,6.2,60.0,14.34,12.87,18.63,1.53,1,2.23,3.0,1.0,17.59,1.12,50.0
28.1,197.9,78.27,19.19,24.91,11.5,60.0,18.55,18.95,23.15,1.59,1,2.97,2.21,1.21,57.76,0.45,62.34
30.09,227.16,82.93,37.02,19.87,7.82,60.0,16.92,18.67,14.22,2.41,0,1.29,3.0,0.98,56.15,1.02,77.29
24.96,179.56,102.62,23.08,25.5,8.66,60.0,16.78,13.62,19.92,2.05,2,3.0,3.0,0.81,46.94,0.81,58.11
26.81,151.14,67.42,19.61,24.8,10.11,60.0,20.07,12.47,24.36,3.15,1,3.0,3.0,0.82,61.25,0.95,33.0
29.29,182.97,89.11,19.56,24.0,6.97,60.0,18.2,13.11,19.79,2.05,2,2.4,1.69,0.79,22.57,0.88,58.43
19.16,120.83,100.8,45.16,23.36,9.12,60.0,11.53,10.51,13.1,1.42,1,3.0,1.34,0.8,9.78,1.09,30.07
26.66,232.23,108.73,32.74,18.26,7.13,60.0,17.75,16.03,10.27,2.34,2,3.0,3.0,0.97,0.78,0.59,77.91
22.67,148.18,104.67,46.42,35.36,6.29,60.0,18.72,17.02,22.77,2.1,1,3.0,3.0,0.79,42.87,0.64,42.33
23.14,142.25,103.02,48.89,19.71,8.22,60.0,13.08,15.38,24.95,2.65,1,1.07,2.39,0.96,25.75,1.28,48.82
23.78,144.34,143.6,45.16,31.43,9.05,60.0,18.45,13.73,13.47,1.92,0,3.0,0.85,1.23,32.91,0.45,67.28
19.97,111.62,88.78,26.2,33.65,8.82,60.0,13.28,10.1,5.0,1.73,0,1.71,1.41,0.97,50.3,0.88,35.08
24.26,208.24,106.51,31.43,27.87,7.03,60.0,17.28,16.3,25.0,2.66,0,3.0,3.0,0.84,38.88,0.77,60.08
18.64,130.67,70.3,18.87,22.33,7.92,60.0,10.57,12.15,22.43,2.11,2,2.14,1.42,0.82,41.29,0.97,28.98
17.63,155.28,50.0,18.41,32.76,6.76,60.0,20.98,10.0,20.51,2.35,1,3.0,1.94,0.85,39.14,0.82,10.23
24.77,192.47,92.25,32.82,29.11,7.6,60.0,15.32,18.04,25.0,2.69,0,3.0,3.0,1.0,44.05,0.76,52.43
22.22,163.01,93.28,50.0,16.46,8.01,60.0,20.46,13.3,16.46,2.49,1,3.0,3.0,0.98,4.12,0.87,34.36
25.78,201.01,92.67,50.0,29.37,7.95,60.0,17.86,13.79,25.0,2.92,2,3.0,1.8,0.81,31.78,0.77,71.75
26.63,152.15,109.27,27.5,23.08,9.77,60.0,18.31,19.74,22.18,2.4,0,3.0,3.0,0.79,3.05,0.92,49.5
24.61,140.4,109.75,28.06,38.55,10.7,60.0,14.09,15.73,23.15,2.31,0,3.0,3.0,0.96,0.66,0.4,36.04
22.19,153.94,102.58,34.42,24.61,5.97,60.0,15.03,21.75,13.89,3.88,1,0.58,3.0,1.03,58.64,0.58,48.37
21.96,158.82,111.93,49.22,26.47,7.79,60.0,15.78,15.75,19.33,3.03,0,3.0,3.0,0.76,36.58,0.79,52.3
26.03,204.19,63.82,26.73,21.57,8.34,60.0,16.62,16.37,23.64,2.62,1,3.0,2.8,0.81,24.6,0.87,48.15
22.71,154.27,50.0,33.61,30.55,7.49,60.0,15.45,10.0,14.44,2.55,0,3.0,3.0,0.78,15.43,0.48,8.33
25.73,156.7,107.72,30.22,17.58,8.06,60.0,14.55,21.25,23.56,1.59,0,3.0,3.0,1.19,38.83,1.15,46.48
33.36,212.28,101.24,33.13,25.24,8.26,60.0,18.07,15.29,25.0,2.67,0,3.0,2.29,0.82,34.32,0.58,77.17
24.73,216.41,115.85,29.65,31.96,9.67,60.0,17.24,21.52,19.94,4.01,1,3.0,3.0,1.01,48.61,1.11,68.71
24.16,219.19,87.37,33.95,25.27,8.9,60.0,19.38,14.29,14.81,1.45,1,3.0,3.0,1.18,45.78,1.13,52.51
25.62,187.37,73.67,30.75,20.33,6.97,60.0,16.94,17.01,25.0,2.72,0,3.0,3.0,1.05,20.18,0.89,43.45
21.75,198.74,110.57,29.18,22.85,9.55,60.0,13.51,14.11,15.84,1.46,1,3.0,3.0,1.02,37.03,0.26,52.04
22.84,147.6,79.67,37.4,25.13,7.86,60.0,19.81,16.21,5.0,2.21,1,3.0,3.0,1.0,10.67,1.03,40.1
21.57,113.07,90.97,19.42,26.11,3.76,60.0,20.47,12.4,13.06,2.58,2,3.0,2.81,1.01,56.09,0.84,29.28
28.5,212.07,86.22,34.73,25.42,7.68,60.0,12.41,14.29,12.66,1.39,1,1.24,3.0,0.76,28.92,0.28,75.27
19.83,179.38,98.29,21.47,26.54,9.18,60.0,15.81,19.33,17.44,2.47,1,3.0,3.0,0.98,20.88,1.39,51.22
20.59,132.75,77.9,44.55,34.53,9.3,60.0,15.1,13.37,13.36,2.85,0,1.02,2.8,0.79,41.36,0.89,41.21
22.96,149.51,70.77,30.7,25.23,9.93,60.0,10.53,16.51,15.52,2.14,0,3.0,2.58,0.83,15.17,0.95,31.66
22.06,169.47,82.3,33.6,23.16,7.94,60.0,17.16,17.66,17.27,2.98,0,0.27,3.0,0.95,34.38,0.71,43.32
22.94,166.18,75.24,19.23,22.67,8.4,60.0,16.22,17.01,13.4,2.9,0,2.54,3.0,1.22,35.25,1.05,47.62
31.82,136.54,64.96,18.44,27.72,8.76,60.0,20.65,14.88,10.14,2.85,1,0.97,3.0,1.03,47.35,0.36,46.66
27.32,171.69,93.55,36.81,27.19,7.05,60.0,14.02,16.81,15.66,1.95,1,0.5,3.0,1.24,17.59,0.28,55.16
19.05,163.44,67.89,41.0,24.54,10.5,60.0,17.2,10.14,16.66,2.0,0,3.0,3.0,0.99,6.46,0.49,25.92
23.23,128.2,66.93,32.88,29.92,7.94,60.0,16.85,18.33,17.12,1.97,1,3.0,3.0,1.17,56.96,1.32,25.97
20.92,176.45,72.85,20.52,22.68,7.51,60.0,16.18,16.14,18.18,2.0,0,1.71,3.0,1.22,4.52,0.41,44.0
19.87,121.76,121.57,31.29,26.47,7.51,60.0,21.42,15.29,20.32,2.06,0,3.0,0.21,0.8,25.16,0.6,41.01
26.24,143.05,71.21,46.76,24.81,11.97,60.0,13.17,18.97,17.0,2.96,0,2.25,3.0,0.81,19.05,0.81,50.17
23.68,169.96,107.48,50.0,32.18,8.52,60.0,16.95,17.01,17.94,2.9,0,1.41,3.0,0.97,49.12,0.85,69.59
24.59,164.58,77.22,46.25,28.88,5.92,60.0,14.59,18.2,14.07,2.41,1,2.71,0.4,0.8,26.31,0.56,51.54
20.9,128.64,125.84,36.96,21.88,4.55,60.0,14.79,17.1,19.06,2.69,1,3.0,3.0,0.83,60.59,0.92,40.63
18.4,167.47,68.77,30.1,19.03,5.29,60.0,12.88,14.48,17.22,1.49,1,3.0,3.0,1.04,11.01,0.3,42.04
26.86,186.19,95.39,26.32,26.53,4.01,60.0,10.0,13.26,12.03,1.89,0,3.0,3.0,1.2,28.51,0.89,53.17
23.17,146.91,82.7,21.04,15.21,9.24,60.0,17.71,15.8,19.17,3.03,1,1.29,3.0,0.81,5.47,0.71,40.09
18.96,119.71,72.14,26.87,30.52,4.1,60.0,10.0,19.42,20.17,2.53,1,3.0,3.0,1.03,39.53,0.55,21.07
26.27,159.68,113.4,22.13,20.41,11.93,60.0,10.0,15.63,20.41,3.79,0,1.44,3.0,0.79,23.11,0.57,64.48
24.55,187.9,99.98,29.52,21.01,6.9,60.0,10.26,14.97,17.24,2.98,0,0.15,3.0,0.81,3.25,1.18,63.4
19.66,91.68,113.88,30.91,24.68,6.4,60.0,18.92,15.81,19.64,3.04,1,3.0,3.0,1.02,34.17,0.71,29.6
20.89,127.91,87.15,27.0,24.8,7.72,60.0,16.17,20.47,22.41,4.07,1,1.95,2.43,0.99,50.98,0.88,47.97
24.42,208.98,88.23,43.22,18.4,8.57,60.0,13.45,15.88,14.02,1.92,1,2.74,3.0,1.16,4.78,1.28,53.36
25.48,159.32,74.85,18.94,26.18,8.51,60.0,15.2,16.76,24.65,4.13,1,3.0,3.0,1.23,43.18,1.16,52.01
24.83,168.89,50.0,16.0,12.86,4.63,60.0,14.16,14.35,18.85,2.53,2,3.0,3.0,1.03,18.07,0.74,33.61
23.91,165.16,112.19,32.11,25.38,8.24,60.0,13.88,13.6,18.37,2.02,0,2.94,3.0,0.74,48.81,0.29,54.76
26.7,170.22,90.0,42.28,21.97,6.93,60.0,13.73,13.28,19.79,2.65,0,3.0,3.0,0.78,61.15,0.9,43.0
29.27,199.27,101.87,35.74,16.4,9.22,60.0,16.74,15.9,10.66,3.85,1,3.0,2.56,1.2,16.51,0.42,78.0
25.87,182.81,110.29,45.18,28.9,8.54,60.0,19.2,16.26,17.58,4.29,0,0.95,3.0,0.79,50.88,0.6,70.3
27.72,197.34,96.68,31.4,29.4,8.68,60.0,18.52,10.38,15.03,1.47,0,1.91,1.19,0.8,44.28,0.77,66.92
23.55,170.56,67.25,22.02,22.26,9.74,60.0,24.7,24.48,25.0,2.61,1,0.98,1.41,0.82,22.2,0.73,47.57
22.35,134.13,67.09,40.71,35.09,10.5,60.0,14.55,15.01,14.76,2.44,0,3.0,3.0,0.76,55.91,0.7,29.76
24.27,169.48,106.06,46.09,25.39,11.15,60.0,16.78,17.46,16.65,2.3,1,3.0,3.0,0.83,13.7,0.41,56.52
23.12,120.26,76.71,50.0,31.0,5.44,60.0,20.37,14.01,21.1,1.63,0,3.0,1.38,0.7,41.4,0.81,21.36
22.58,140.43,67.47,19.33,26.26,12.15,60.0,11.19,18.15,13.42,3.89,0,3.0,3.0,1.22,58.23,0.57,31.66
20.32,115.39,116.12,22.15,22.61,7.51,60.0,15.61,13.86,15.51,1.96,1,3.0,3.0,0.99,38.48,1.11,42.76
20.94,134.72,100.23,27.11,28.08,6.01,60.0,23.91,22.51,18.65,1.49,1,2.26,3.0,1.17,15.45,0.37,41.18
21.97,164.82,91.52,39.89,20.75,4.6,60.0,19.4,19.24,16.43,2.95,1,3.0,3.0,1.22,40.73,0.33,43.23
