ct_norm_s1,ct_norm_s2,ct_norm_s3,ct_norm_s4,ct_norm_s5,ct_norm_s6,wip_norm,speed_norm,failure_prob,micro_stops_norm,operator_efficiency,action,reward,throughput_uph,episode,step
0.57,0.52,0.46,0.5,0.58,0.37,0.15,0.85,0.08,0.07,1.0,4,124.25,113.29,22,21
0.57,0.53,0.46,0.51,0.59,0.36,0.05,0.85,0.07,0.13,1.0,0,126.53,113.89,22,22
0.57,0.52,0.46,0.5,0.58,0.35,0.02,0.85,0.06,0.13,1.0,3,129.74,112.96,22,23
0.57,0.52,0.47,0.52,0.59,0.37,0.02,0.85,0.03,0.07,1.0,1,133.39,117.44,22,24
0.54,0.51,0.45,0.52,0.58,0.37,0.05,0.88,0.05,0.07,1.0,0,131.78,117.28,22,25
0.55,0.52,0.44,0.51,0.59,0.36,0.08,0.88,0.05,0.07,1.0,3,132.55,116.43,22,26
0.58,0.54,0.45,0.51,0.59,0.36,0.05,0.88,0.02,0.07,1.0,2,122.9,110.33,22,27
0.6,0.56,0.49,0.56,0.63,0.39,0.02,0.85,0.0,0.13,1.0,2,116.5,105.0,22,28
0.63,0.59,0.52,0.58,0.64,0.43,0.02,0.83,0.0,0.13,1.0,4,119.67,106.4,22,29
0.64,0.57,0.52,0.58,0.63,0.43,0.0,0.84,0.0,0.13,1.0,1,125.85,111.68,22,30
0.6,0.54,0.49,0.56,0.61,0.41,0.0,0.86,0.02,0.13,1.0,1,127.77,116.72,22,31
0.59,0.53,0.47,0.52,0.59,0.39,0.0,0.89,0.03,0.2,1.0,0,127.68,116.73,22,32
0.57,0.52,0.49,0.51,0.6,0.4,0.0,0.89,0.04,0.2,1.0,0,125.97,116.52,22,33
0.57,0.53,0.48,0.52,0.61,0.39,0.02,0.89,0.04,0.2,1.0,0,124.21,116.3,22,34
0.57,0.53,0.47,0.53,0.62,0.4,0.05,0.89,0.04,0.2,1.0,4,129.12,117.85,22,35
0.56,0.52,0.45,0.53,0.63,0.39,0.0,0.9,0.03,0.2,1.0,4,125.67,118.27,22,36
0.58,0.53,0.46,0.53,0.62,0.4,0.0,0.9,0.02,0.27,1.0,1,130.66,123.85,22,37
0.56,0.52,0.42,0.51,0.59,0.37,0.02,0.93,0.05,0.27,1.0,3,142.14,121.89,22,38
0.59,0.53,0.45,0.54,0.61,0.39,0.0,0.93,0.01,0.07,1.0,4,143.73,123.22,22,39
0.58,0.52,0.46,0.52,0.61,0.4,0.0,0.94,0.01,0.07,1.0,4,140.09,123.49,22,40
0.58,0.54,0.47,0.52,0.62,0.4,0.0,0.95,0.01,0.13,1.0,4,141.7,124.78,22,41
0.57,0.53,0.46,0.54,0.64,0.4,0.0,0.95,0.0,0.13,1.0,3,143.37,122.8,22,42
0.59,0.55,0.49,0.54,0.67,0.4,0.0,0.95,0.0,0.07,1.0,3,145.55,121.29,22,43
0.61,0.58,0.51,0.56,0.68,0.41,0.0,0.95,0.0,0.0,1.0,4,146.12,121.77,22,44
0.61,0.59,0.5,0.58,0.69,0.43,0.0,0.96,0.0,0.0,1.0,5,142.82,122.35,22,45
0.6,0.57,0.48,0.57,0.68,0.45,0.0,0.96,0.0,0.07,1.0,0,142.94,122.51,22,46
0.62,0.56,0.5,0.56,0.66,0.45,0.0,0.96,0.01,0.07,1.0,4,144.59,123.83,22,47
0.62,0.56,0.48,0.55,0.65,0.47,0.0,0.97,0.0,0.07,1.0,2,132.6,117.16,22,48
0.67,0.6,0.52,0.58,0.68,0.52,0.0,0.95,0.0,0.13,1.0,1,133.61,122.75,22,49
0.66,0.56,0.49,0.54,0.65,0.49,0.02,0.97,0.02,0.2,1.0,3,142.52,121.27,22,50
0.67,0.58,0.5,0.58,0.68,0.49,0.05,0.97,0.0,0.0,1.0,0,139.06,121.72,22,51
0.68,0.6,0.48,0.57,0.66,0.48,0.05,0.97,0.0,0.07,1.0,2,133.04,115.45,22,52
0.72,0.66,0.5,0.61,0.68,0.52,0.02,0.95,0.0,0.07,1.0,2,128.57,110.48,22,53
0.75,0.68,0.52,0.61,0.7,0.57,0.0,0.92,0.0,0.07,1.0,0,127.96,110.01,22,54
0.77,0.7,0.52,0.62,0.71,0.56,0.0,0.92,0.01,0.07,1.0,4,124.79,110.77,22,55
0.78,0.68,0.53,0.62,0.73,0.56,0.0,0.93,0.01,0.13,1.0,3,131.55,109.63,22,56
0.78,0.68,0.55,0.65,0.76,0.57,0.0,0.93,0.0,0.0,1.0,0,131.66,109.78,22,57
0.77,0.66,0.57,0.64,0.76,0.57,0.0,0.93,0.01,0.0,1.0,5,127.64,109.72,22,58
0.78,0.64,0.58,0.65,0.78,0.55,0.0,0.93,0.0,0.07,1.0,3,128.15,108.04,22,59
0.79,0.68,0.62,0.66,0.78,0.59,0.02,0.93,0.0,0.0,1.0,3,126.35,106.55,22,60
0.81,0.67,0.65,0.67,0.82,0.62,0.02,0.93,0.0,0.0,1.0,1,131.62,111.1,22,61
0.8,0.65,0.62,0.63,0.81,0.59,0.02,0.95,0.02,0.0,1.0,3,132.41,110.34,22,62
0.83,0.66,0.62,0.62,0.83,0.6,0.0,0.95,0.0,0.0,1.0,1,137.12,114.51,22,63
0.82,0.65,0.58,0.61,0.82,0.58,0.0,0.98,0.03,0.0,1.0,4,134.41,115.61,22,64
0.81,0.65,0.59,0.62,0.81,0.58,0.0,0.99,0.03,0.07,1.0,0,138.45,115.65,22,65
0.81,0.66,0.6,0.61,0.81,0.57,0.0,0.99,0.03,0.0,1.0,5,134.36,115.64,22,66
0.83,0.66,0.58,0.61,0.8,0.58,0.0,0.99,0.04,0.07,1.0,1,138.39,119.2,22,67
0.8,0.63,0.57,0.57,0.77,0.57,0.0,1.0,0.06,0.07,1.0,3,140.85,117.66,22,68
0.82,0.63,0.59,0.58,0.8,0.59,0.0,1.0,0.03,0.0,1.0,2,131.3,110.84,22,69
0.88,0.68,0.63,0.61,0.86,0.65,0.02,0.98,0.02,0.0,1.0,5,130.06,111.11,22,70
0.88,0.68,0.62,0.62,0.86,0.64,0.05,0.98,0.03,0.0,1.0,2,124.83,105.38,22,71
0.93,0.75,0.66,0.66,0.9,0.66,0.02,0.95,0.01,0.0,1.0,1,123.8,109.24,22,72
0.92,0.74,0.66,0.62,0.87,0.64,0.05,0.98,0.03,0.07,1.0,0,127.08,109.86,22,73
0.9,0.73,0.65,0.61,0.85,0.65,0.08,0.98,0.03,0.0,1.0,0,122.66,109.51,22,74
0.92,0.75,0.65,0.6,0.86,0.65,0.08,0.98,0.03,0.07,1.0,5,121.14,109.44,22,75
0.92,0.77,0.63,0.6,0.87,0.65,0.1,0.98,0.02,0.07,1.0,2,113.34,104.86,22,76
0.94,0.8,0.65,0.63,0.92,0.66,0.08,0.95,0.0,0.13,1.0,1,119.58,109.05,22,77
0.93,0.76,0.63,0.62,0.89,0.63,0.05,0.98,0.03,0.13,1.0,5,118.68,108.37,22,78
0.94,0.78,0.62,0.63,0.91,0.65,0.05,0.98,0.04,0.13,1.0,3,121.35,107.02,22,79
0.56,0.36,0.35,0.43,0.34,0.49,0.3,0.82,0.12,0.2,0.86,5,86.77,99.55,23,0
0.55,0.37,0.35,0.42,0.33,0.5,0.32,0.82,0.12,0.2,0.86,1,88.02,104.14,23,1
0.53,0.35,0.34,0.4,0.33,0.47,0.32,0.84,0.14,0.27,0.86,3,101.43,103.81,23,2
0.54,0.35,0.35,0.4,0.32,0.47,0.3,0.84,0.11,0.07,0.86,0,103.4,104.18,23,3
0.55,0.36,0.35,0.42,0.32,0.47,0.28,0.84,0.11,0.07,0.87,2,96.88,98.59,23,4
0.6,0.39,0.36,0.46,0.35,0.51,0.28,0.82,0.09,0.07,0.87,4,101.55,100.07,23,5
0.59,0.39,0.34,0.45,0.34,0.51,0.22,0.83,0.1,0.07,0.87,5,98.8,99.84,23,6
0.58,0.4,0.34,0.47,0.35,0.51,0.2,0.83,0.1,0.13,0.87,4,102.87,99.56,23,7
0.6,0.41,0.35,0.48,0.37,0.52,0.12,0.84,0.11,0.13,0.87,1,103.28,104.73,23,8
0.56,0.37,0.34,0.46,0.34,0.51,0.15,0.86,0.14,0.2,0.87,3,111.76,103.67,23,9
0.58,0.38,0.37,0.46,0.34,0.53,0.12,0.86,0.11,0.07,0.87,1,115.42,108.08,23,10
0.55,0.37,0.35,0.44,0.34,0.51,0.15,0.89,0.13,0.07,0.87,0,124.07,114.04,23,11
0.54,0.35,0.36,0.42,0.33,0.5,0.12,0.89,0.13,0.07,0.91,5,122.62,114.12,23,12
0.52,0.35,0.36,0.43,0.32,0.5,0.15,0.89,0.13,0.07,0.91,5,119.52,113.69,23,13
0.52,0.34,0.37,0.45,0.34,0.5,0.12,0.89,0.14,0.13,0.91,3,119.66,111.47,23,14
0.54,0.37,0.4,0.48,0.36,0.52,0.15,0.89,0.11,0.07,0.91,2,114.6,105.87,23,15
0.56,0.42,0.44,0.5,0.4,0.52,0.12,0.86,0.09,0.07,0.91,2,105.58,100.26,23,16
0.6,0.45,0.49,0.55,0.4,0.55,0.1,0.84,0.07,0.13,0.91,2,96.77,94.83,23,17
0.62,0.5,0.53,0.57,0.44,0.57,0.08,0.81,0.05,0.2,0.91,0,98.92,95.33,23,18
0.61,0.48,0.54,0.58,0.46,0.56,0.05,0.81,0.05,0.2,0.91,0,96.68,94.64,23,19
0.61,0.49,0.55,0.58,0.48,0.58,0.08,0.81,0.04,0.2,0.91,5,92.69,94.59,23,20
0.62,0.49,0.56,0.58,0.46,0.58,0.08,0.81,0.03,0.27,0.91,4,96.88,95.64,23,21
0.61,0.49,0.57,0.58,0.47,0.58,0.02,0.82,0.04,0.27,0.91,2,85.2,90.39,23,22
0.68,0.52,0.59,0.59,0.52,0.61,0.05,0.79,0.03,0.33,0.91,2,76.68,85.23,23,23
0.71,0.57,0.61,0.63,0.55,0.66,0.02,0.77,0.01,0.4,0.91,1,79.67,89.08,23,24
0.69,0.56,0.58,0.6,0.54,0.66,0.05,0.79,0.02,0.4,0.91,1,78.72,93.04,23,25
0.68,0.54,0.54,0.6,0.51,0.65,0.08,0.82,0.04,0.47,0.91,0,84.31,94.43,23,26
0.69,0.56,0.53,0.58,0.49,0.66,0.08,0.82,0.05,0.4,0.92,4,83.88,94.92,23,27
0.71,0.58,0.54,0.57,0.49,0.68,0.02,0.83,0.05,0.47,0.92,1,88.4,98.91,23,28
0.69,0.57,0.5,0.56,0.5,0.66,0.02,0.85,0.08,0.47,0.92,0,95.28,100.12,23,29
0.67,0.55,0.5,0.57,0.49,0.65,0.0,0.85,0.09,0.4,0.93,4,92.23,100.89,23,30
0.69,0.54,0.5,0.59,0.48,0.65,0.0,0.86,0.08,0.47,0.93,3,97.48,99.62,23,31
0.7,0.57,0.51,0.61,0.5,0.66,0.02,0.86,0.06,0.33,0.93,0,101.2,101.49,23,32
0.72,0.56,0.5,0.63,0.49,0.64,0.0,0.86,0.06,0.33,0.95,3,108.42,100.67,23,33
0.74,0.57,0.5,0.63,0.51,0.65,0.0,0.86,0.04,0.2,0.95,3,113.78,99.46,23,34
0.75,0.6,0.51,0.64,0.54,0.67,0.02,0.86,0.01,0.07,0.95,5,112.37,99.47,23,35
0.76,0.58,0.52,0.65,0.53,0.67,0.05,0.86,0.0,0.07,0.95,4,116.34,100.29,23,36
0.74,0.58,0.52,0.67,0.53,0.68,0.0,0.87,0.0,0.07,0.95,3,113.79,99.41,23,37
0.76,0.59,0.52,0.7,0.54,0.69,0.02,0.87,0.0,0.07,0.95,4,116.58,100.51,23,38
0.77,0.58,0.53,0.71,0.53,0.68,0.0,0.88,0.0,0.07,0.95,1,117.35,104.57,23,39
0.76,0.56,0.52,0.67,0.52,0.66,0.0,0.9,0.01,0.13,0.95,5,117.24,104.4,23,40
0.77,0.56,0.51,0.68,0.53,0.65,0.0,0.9,0.0,0.13,0.95,1,118.33,108.88,23,41
0.75,0.56,0.48,0.64,0.52,0.63,0.0,0.93,0.03,0.2,0.95,1,121.6,113.05,23,42
0.73,0.54,0.47,0.62,0.5,0.62,0.02,0.95,0.06,0.2,0.95,2,109.49,107.37,23,43
0.76,0.59,0.52,0.64,0.51,0.68,0.05,0.93,0.04,0.27,0.95,2,99.58,102.32,23,44
0.79,0.62,0.57,0.66,0.51,0.72,0.05,0.9,0.02,0.33,0.95,4,99.33,102.9,23,45
0.78,0.62,0.59,0.68,0.51,0.72,0.0,0.91,0.01,0.4,0.95,0,104.1,103.5,23,46
0.78,0.63,0.6,0.69,0.51,0.73,0.0,0.91,0.01,0.33,0.96,2,92.46,98.3,23,47
0.82,0.67,0.66,0.7,0.54,0.76,0.02,0.89,0.0,0.4,0.96,4,95.54,99.62,23,48
0.81,0.69,0.64,0.7,0.52,0.77,0.0,0.89,0.0,0.4,0.96,3,102.28,98.56,23,49
0.81,0.7,0.67,0.7,0.54,0.8,0.0,0.89,0.0,0.27,0.96,4,99.18,99.31,23,50
0.82,0.71,0.68,0.7,0.54,0.78,0.0,0.9,0.0,0.33,0.96,0,103.35,102.8,23,51
0.82,0.71,0.68,0.69,0.53,0.8,0.0,0.9,0.0,0.33,0.99,1,103.66,107.78,23,52
0.78,0.67,0.65,0.66,0.49,0.79,0.02,0.93,0.02,0.4,0.99,5,101.02,107.71,23,53
0.78,0.68,0.66,0.65,0.51,0.77,0.0,0.93,0.02,0.47,0.99,5,100.35,107.22,23,54
0.8,0.68,0.68,0.66,0.52,0.76,0.0,0.93,0.03,0.47,0.99,3,106.1,106.36,23,55
0.8,0.71,0.69,0.66,0.54,0.76,0.02,0.93,0.0,0.33,0.99,1,108.97,110.96,23,56
0.79,0.67,0.68,0.64,0.52,0.72,0.0,0.95,0.02,0.4,0.99,2,98.68,105.57,23,57
0.86,0.71,0.69,0.67,0.54,0.76,0.0,0.93,0.0,0.47,0.99,3,109.66,104.72,23,58
0.87,0.73,0.71,0.68,0.56,0.76,0.0,0.93,0.0,0.27,0.99,4,106.61,105.54,23,59
0.86,0.72,0.71,0.69,0.56,0.77,0.0,0.94,0.0,0.33,0.99,1,107.55,109.89,23,60
0.83,0.67,0.7,0.67,0.56,0.76,0.0,0.96,0.03,0.4,0.99,2,99.84,104.54,23,61
0.86,0.71,0.74,0.7,0.6,0.79,0.02,0.94,0.01,0.4,0.99,4,102.12,105.17,23,62
0.85,0.73,0.75,0.69,0.59,0.8,0.0,0.94,0.01,0.4,0.99,2,95.13,100.53,23,63
0.88,0.76,0.77,0.75,0.61,0.83,0.02,0.92,0.0,0.4,0.99,2,91.25,96.04,23,64
0.91,0.79,0.78,0.78,0.64,0.88,0.0,0.89,0.0,0.4,0.99,0,91.83,96.52,23,65
0.92,0.8,0.79,0.76,0.64,0.89,0.0,0.89,0.0,0.4,1.0,1,92.06,100.2,23,66
0.93,0.78,0.79,0.72,0.63,0.87,0.0,0.92,0.02,0.47,1.0,0,96.14,100.34,23,67
0.92,0.79,0.81,0.72,0.61,0.86,0.0,0.92,0.03,0.4,1.0,4,97.47,101.49,23,68
0.92,0.77,0.81,0.74,0.61,0.85,0.0,0.93,0.03,0.4,1.0,2,87.52,96.45,23,69
0.97,0.81,0.85,0.77,0.62,0.88,0.0,0.9,0.02,0.47,1.0,4,88.86,97.56,23,70
0.96,0.79,0.87,0.77,0.61,0.88,0.0,0.91,0.02,0.47,1.0,1,92.25,101.77,23,71
0.94,0.76,0.84,0.75,0.59,0.87,0.02,0.94,0.04,0.47,1.0,1,97.55,106.34,23,72
0.9,0.74,0.82,0.71,0.57,0.83,0.02,0.96,0.06,0.47,1.0,3,108.82,105.52,23,73
0.94,0.75,0.83,0.72,0.59,0.82,0.02,0.96,0.03,0.27,1.0,1,110.93,109.5,23,74
0.93,0.73,0.79,0.69,0.58,0.83,0.0,0.99,0.05,0.33,1.0,5,106.51,109.19,23,75
0.91,0.73,0.8,0.71,0.58,0.84,0.0,0.99,0.05,0.4,1.0,1,110.51,112.71,23,76
0.87,0.69,0.76,0.67,0.56,0.84,0.0,1.0,0.07,0.4,1.0,5,111.17,113.21,23,77
0.85,0.69,0.74,0.68,0.57,0.83,0.0,1.0,0.07,0.4,1.0,4,107.39,113.34,23,78
0.84,0.67,0.76,0.69,0.56,0.83,0.0,1.0,0.06,0.47,1.0,5,103.74,113.57,23,79
0.37,0.52,0.47,0.56,0.43,0.48,0.2,0.71,0.1,0.13,0.77,1,74.56,78.62,24,0
0.36,0.51,0.45,0.52,0.4,0.46,0.18,0.73,0.13,0.13,0.77,0,78.09,82.81,24,1
0.36,0.5,0.45,0.51,0.39,0.44,0.2,0.73,0.13,0.13,0.81,5,77.69,82.51,24,2
0.37,0.5,0.45,0.52,0.39,0.45,0.2,0.73,0.13,0.13,0.81,0,87.17,85.9,24,3
0.37,0.5,0.45,0.53,0.4,0.46,0.18,0.73,0.14,0.07,0.85,3,87.66,84.73,24,4
0.38,0.52,0.44,0.56,0.41,0.48,0.15,0.73,0.1,0.07,0.85,0,93.97,87.83,24,5
0.36,0.5,0.43,0.55,0.41,0.47,0.18,0.73,0.09,0.0,0.87,1,95.05,92.29,24,6
0.35,0.5,0.41,0.52,0.39,0.43,0.18,0.76,0.12,0.07,0.87,5,92.68,92.47,24,7
0.36,0.5,0.41,0.51,0.38,0.43,0.15,0.76,0.13,0.13,0.87,2,83.62,86.97,24,8
0.38,0.56,0.45,0.54,0.42,0.45,0.12,0.73,0.12,0.2,0.87,3,93.13,85.97,24,9
0.39,0.57,0.49,0.55,0.44,0.44,0.15,0.73,0.1,0.0,0.87,3,93.08,84.37,24,10
0.4,0.61,0.51,0.55,0.48,0.48,0.12,0.73,0.07,0.0,0.87,1,97.69,88.37,24,11
0.37,0.59,0.51,0.52,0.46,0.48,0.12,0.76,0.08,0.0,0.87,0,96.32,89.27,24,12
0.38,0.6,0.51,0.53,0.47,0.5,0.1,0.76,0.08,0.07,0.88,4,96.77,90.49,24,13
0.39,0.6,0.51,0.53,0.45,0.48,0.05,0.77,0.08,0.13,0.88,0,100.23,91.37,24,14
0.39,0.6,0.52,0.51,0.46,0.47,0.08,0.77,0.09,0.07,0.89,0,106.62,93.4,24,15
0.39,0.59,0.53,0.5,0.45,0.45,0.08,0.77,0.1,0.0,0.9,2,96.43,88.18,24,16
0.42,0.62,0.55,0.55,0.48,0.49,0.08,0.74,0.09,0.07,0.9,3,96.61,86.78,24,17
0.45,0.64,0.55,0.58,0.5,0.52,0.05,0.74,0.05,0.07,0.9,1,102.1,91.49,24,18
0.43,0.61,0.51,0.53,0.47,0.52,0.05,0.77,0.07,0.07,0.9,2,94.63,86.38,24,19
0.48,0.64,0.56,0.57,0.48,0.54,0.08,0.74,0.05,0.07,0.9,4,93.01,87.04,24,20
0.48,0.65,0.56,0.57,0.5,0.54,0.05,0.75,0.04,0.13,0.9,3,98.21,86.56,24,21
0.49,0.66,0.57,0.59,0.49,0.55,0.02,0.75,0.02,0.07,0.9,4,97.23,87.82,24,22
0.47,0.67,0.55,0.57,0.48,0.57,0.0,0.76,0.02,0.13,0.9,1,98.49,92.35,24,23
0.44,0.64,0.55,0.56,0.43,0.55,0.0,0.78,0.03,0.2,0.9,1,97.94,96.7,24,24
0.42,0.64,0.53,0.55,0.41,0.51,0.02,0.81,0.06,0.27,0.9,5,95.08,96.32,24,25
0.42,0.65,0.54,0.56,0.39,0.52,0.0,0.81,0.05,0.33,0.9,5,89.7,96.43,24,26
0.41,0.66,0.52,0.58,0.37,0.53,0.02,0.81,0.05,0.4,0.9,1,89.24,100.87,24,27
0.38,0.62,0.51,0.57,0.37,0.52,0.05,0.83,0.08,0.47,0.9,0,92.19,101.19,24,28
0.36,0.62,0.53,0.57,0.37,0.5,0.08,0.83,0.07,0.4,0.91,5,89.93,101.33,24,29
0.36,0.63,0.52,0.57,0.36,0.49,0.05,0.83,0.07,0.47,0.91,3,99.35,100.09,24,30
0.38,0.64,0.54,0.6,0.37,0.51,0.08,0.83,0.03,0.27,0.91,4,99.14,100.67,24,31
0.39,0.65,0.54,0.6,0.38,0.51,0.02,0.84,0.02,0.33,0.91,0,104.96,105.6,24,32
0.39,0.64,0.55,0.6,0.38,0.51,0.02,0.84,0.03,0.33,0.95,4,105.72,106.26,24,33
0.39,0.66,0.57,0.59,0.38,0.51,0.02,0.85,0.03,0.33,0.95,4,103.8,106.77,24,34
0.39,0.67,0.59,0.6,0.38,0.52,0.0,0.86,0.03,0.4,0.95,3,108.9,105.33,24,35
0.4,0.69,0.59,0.62,0.42,0.53,0.02,0.86,0.0,0.27,0.95,1,113.04,110.17,24,36
0.37,0.65,0.58,0.61,0.41,0.5,0.05,0.88,0.02,0.27,0.95,3,119.83,109.03,24,37
0.38,0.67,0.6,0.64,0.41,0.51,0.05,0.88,0.0,0.13,0.95,0,125.53,112.53,24,38
0.39,0.68,0.59,0.65,0.4,0.52,0.02,0.88,0.0,0.13,0.99,5,120.34,112.78,24,39
0.38,0.68,0.6,0.66,0.39,0.52,0.05,0.88,0.0,0.2,0.99,4,120.93,114.11,24,40
0.37,0.69,0.58,0.67,0.4,0.5,0.0,0.89,0.0,0.27,0.99,3,131.5,112.91,24,41
0.39,0.72,0.59,0.66,0.42,0.53,0.0,0.89,0.0,0.07,0.99,4,128.4,113.67,24,42
0.39,0.73,0.6,0.66,0.42,0.51,0.0,0.9,0.0,0.13,0.99,0,133.74,114.85,24,43
0.41,0.73,0.6,0.67,0.41,0.52,0.0,0.9,0.01,0.07,1.0,2,123.03,109.19,24,44
0.43,0.76,0.63,0.7,0.43,0.57,0.0,0.88,0.0,0.13,1.0,3,128.32,108.18,24,45
0.43,0.76,0.64,0.73,0.46,0.58,0.02,0.88,0.0,0.0,1.0,4,131.73,109.77,24,46
0.42,0.74,0.64,0.72,0.46,0.57,0.0,0.88,0.0,0.0,1.0,1,137.77,114.93,24,47
0.39,0.72,0.61,0.71,0.44,0.54,0.0,0.91,0.01,0.0,1.0,0,135.92,114.72,24,48
0.39,0.72,0.63,0.7,0.43,0.55,0.02,0.91,0.02,0.0,1.0,4,138.97,116.0,24,49
0.4,0.71,0.61,0.72,0.41,0.56,0.0,0.92,0.02,0.0,1.0,0,139.49,116.38,24,50
0.41,0.7,0.6,0.71,0.39,0.56,0.0,0.92,0.02,0.0,1.0,2,127.83,111.16,24,51
0.42,0.73,0.62,0.73,0.43,0.6,0.02,0.89,0.01,0.07,1.0,5,127.58,110.93,24,52
0.41,0.73,0.62,0.74,0.44,0.61,0.02,0.89,0.0,0.07,1.0,1,133.82,116.31,24,53
0.37,0.7,0.59,0.72,0.43,0.57,0.02,0.92,0.03,0.07,1.0,1,137.99,121.22,24,54
0.34,0.68,0.57,0.71,0.4,0.56,0.05,0.94,0.05,0.07,1.0,2,131.19,115.39,24,55
0.36,0.69,0.63,0.76,0.42,0.59,0.05,0.92,0.03,0.07,1.0,4,133.77,116.31,24,56
0.38,0.68,0.63,0.76,0.4,0.6,0.02,0.93,0.03,0.07,1.0,4,133.25,117.99,24,57
0.36,0.66,0.64,0.76,0.41,0.59,0.0,0.93,0.03,0.13,1.0,1,133.6,123.03,24,58
0.32,0.65,0.64,0.74,0.37,0.56,0.02,0.96,0.05,0.2,1.0,4,134.36,123.69,24,59
0.31,0.66,0.64,0.75,0.39,0.56,0.02,0.97,0.06,0.2,1.0,3,144.47,121.79,24,60
0.32,0.68,0.67,0.79,0.42,0.56,0.02,0.97,0.02,0.0,1.0,0,139.8,121.3,24,61
0.34,0.69,0.66,0.8,0.42,0.56,0.02,0.97,0.03,0.07,1.0,1,145.9,126.53,24,62
0.32,0.68,0.63,0.76,0.41,0.54,0.02,0.99,0.04,0.07,1.0,0,150.58,127.08,24,63
0.32,0.68,0.62,0.77,0.39,0.52,0.02,0.99,0.04,0.0,1.0,3,143.61,125.69,24,64
0.34,0.7,0.64,0.77,0.39,0.55,0.05,0.99,0.02,0.07,1.0,0,146.35,125.82,24,65
0.34,0.7,0.63,0.78,0.37,0.56,0.08,0.99,0.01,0.0,1.0,5,145.97,125.49,24,66
0.34,0.71,0.62,0.8,0.38,0.57,0.08,0.99,0.01,0.0,1.0,1,148.01,128.63,24,67
0.31,0.69,0.61,0.8,0.33,0.53,0.1,1.0,0.03,0.0,1.0,4,150.95,128.59,24,68
0.31,0.7,0.59,0.8,0.33,0.54,0.05,1.0,0.04,0.0,1.0,2,137.44,121.85,24,69
0.36,0.74,0.63,0.83,0.34,0.59,0.08,0.98,0.03,0.07,1.0,4,139.49,123.14,24,70
0.37,0.73,0.61,0.85,0.34,0.59,0.0,0.98,0.03,0.13,1.0,4,140.76,124.26,24,71
0.37,0.71,0.6,0.85,0.35,0.59,0.0,0.99,0.04,0.13,1.0,1,140.59,127.57,24,72
0.34,0.68,0.59,0.82,0.33,0.56,0.0,1.0,0.05,0.2,1.0,5,136.28,127.24,24,73
0.33,0.69,0.59,0.82,0.35,0.58,0.0,1.0,0.04,0.27,1.0,0,140.24,127.25,24,74
0.32,0.69,0.59,0.83,0.34,0.58,0.0,1.0,0.05,0.2,1.0,0,140.22,127.2,24,75
0.31,0.69,0.59,0.84,0.34,0.58,0.0,1.0,0.04,0.2,1.0,2,126.86,120.56,24,76
0.36,0.73,0.63,0.85,0.39,0.62,0.02,0.98,0.03,0.27,1.0,5,123.96,120.24,24,77
0.35,0.72,0.65,0.85,0.4,0.64,0.0,0.98,0.03,0.33,1.0,1,125.8,125.26,24,78
0.34,0.7,0.63,0.81,0.37,0.62,0.0,1.0,0.05,0.4,1.0,4,121.82,125.28,24,79
0.44,0.58,0.33,0.43,0.36,0.59,0.28,0.77,0.09,0.0,0.92,4,103.52,98.21,25,0
0.44,0.59,0.31,0.42,0.34,0.6,0.22,0.77,0.08,0.0,0.92,3,102.58,97.14,25,1
0.45,0.6,0.33,0.44,0.37,0.61,0.22,0.77,0.05,0.0,0.92,3,102.66,95.7,25,2
0.47,0.62,0.35,0.48,0.4,0.61,0.2,0.77,0.02,0.0,0.92,3,99.9,94.5,25,3
0.48,0.65,0.35,0.48,0.43,0.64,0.22,0.77,0.0,0.0,0.92,2,89.7,89.34,25,4
0.51,0.68,0.39,0.5,0.46,0.65,0.22,0.75,0.0,0.07,0.92,0,90.52,90.02,25,5
0.53,0.68,0.38,0.5,0.47,0.65,0.22,0.75,0.0,0.07,0.93,3,92.52,89.6,25,6
0.54,0.69,0.39,0.5,0.47,0.66,0.25,0.75,0.0,0.0,0.93,2,81.1,84.67,25,7
0.56,0.73,0.42,0.51,0.49,0.73,0.28,0.72,0.0,0.07,0.93,1,86.04,88.88,25,8
0.55,0.72,0.4,0.48,0.46,0.71,0.28,0.75,0.01,0.07,0.93,0,93.13,91.39,25,9
0.56,0.71,0.41,0.47,0.47,0.7,0.28,0.75,0.0,0.0,0.96,2,80.92,85.77,25,10
0.6,0.75,0.45,0.49,0.52,0.75,0.3,0.72,0.0,0.07,0.96,1,86.16,90.28,25,11
0.58,0.73,0.42,0.48,0.49,0.72,0.3,0.75,0.02,0.07,0.96,2,81.57,85.06,25,12
0.62,0.78,0.45,0.51,0.52,0.76,0.28,0.72,0.0,0.07,0.96,2,70.73,80.61,25,13
0.64,0.78,0.48,0.54,0.54,0.81,0.3,0.7,0.0,0.13,0.96,4,77.42,81.24,25,14
0.66,0.77,0.5,0.53,0.55,0.83,0.2,0.71,0.01,0.13,0.96,4,77.9,82.42,25,15
0.67,0.76,0.48,0.54,0.55,0.81,0.15,0.72,0.0,0.2,0.96,3,83.03,81.27,25,16
0.66,0.78,0.51,0.55,0.57,0.85,0.18,0.72,0.0,0.07,0.96,2,76.47,77.06,25,17
0.68,0.81,0.56,0.56,0.6,0.88,0.2,0.69,0.0,0.07,0.96,1,75.86,81.36,25,18
0.67,0.76,0.53,0.53,0.56,0.86,0.22,0.72,0.03,0.13,0.96,2,67.83,76.63,25,19
